pdoms
98307
28682
43020
28693
83994
28704
112673
103181
59430
98351
23309
180282
27658
168031
7186
79984
168059
98439
136
59075
59418
98483
71894
98567
22833
98614
59136
153951
72032
45412
45426
60480
98702
98737
22974
98754
15436
82379
47574
98777
84444
178654
178665
178678
66055
10771
23083
29247
66121
76369
10846
21095
91949
88721
15473
176925
98993
104564
59168
93643
180005
99041
45820
98093
60890
15140
23346
3390
3869
3565
104584
27445
66359
162623
176975
45914
71823
23416
7075
152501
140220
84928
84799
177093
107463
7118
167759
60384
160748
84982
7163
60416
152585
7178
105485
85016
15389
60448
152620
160814
99392
44097
99404
99407
60512
68720
99441
31860
35965
60544
97436
87200
68781
60603
15552
79050
15575
20687
34019
15603
15628
32013
91424
32033
15657
109871
98178
15680
32072
36185
177498
32092
91485
15711
7520
93544
101747
32126
177537
93577
101771
32153
179610
83362
22689
93610
40367
80115
91596
48597
140762
32219
91617
101865
93676
3565
60920
91643
30212
93709
97811
91669
85842
44581
44589
93742
85552
36407
97855
85571
44620
159313
15954
36442
1634
20070
44653
20081
44661
97912
44669
20094
107456
5772
172654
97946
26267
26280
5808
71345
34486
87742
67263
79552
26315
97996
79571
14971
98022
153338
79618
167684
59148
98068
44823
91928
98074
3869
22492
5932
167734
48597
98109
85823
48970
98128
79698
44888
137053
153460
3390
79736
83848
137107
98203
153503
65533
98232
59325
104386
10913
98251
153558
86012
85997
89770
