stmtid,childid,leftid,rightid
65529,-0.5,278995,278997
112650,-0.5,278999,279001
112650,-0.5,279003,279005
112650,-0.5,290552,290554
18832,-0.5,290556,290558
179451,-0.5,290560,290562
46876,-0.5,290564,290532
112595,-0.5,290534,290536
