func_name, func_id, global_name
"findNextMessage", 23524, "msgs"
"findNextMessage", 23524, "sort"
"findNextMessage", 23524, "thread_sort_messages"
"findNextMessage", 23524, "allow_server_sort"
"findNextMessage", 23524, "server_sort_array"
"findPreviousMessage", 23725, "msort"
"findPreviousMessage", 23725, "sort"
"findPreviousMessage", 23725, "msgs"
"findPreviousMessage", 23725, "thread_sort_messages"
"findPreviousMessage", 23725, "allow_server_sort"
"findPreviousMessage", 23725, "server_sort_array"
"printer_friendly_link", 23918, "javascript_on"
"ServerMDNSupport", 24076, NULL
"SendMDN", 24100, "username"
"SendMDN", 24100, "attachment_dir"
"SendMDN", 24100, "color"
"SendMDN", 24100, "default_move_to_sent"
"SendMDN", 24100, "version"
"SendMDN", 24100, "attachments"
"SendMDN", 24100, "squirrelmail_language"
"SendMDN", 24100, "default_charset"
"SendMDN", 24100, "languages"
"SendMDN", 24100, "useSendmail"
"SendMDN", 24100, "domain"
"SendMDN", 24100, "sent_folder"
"SendMDN", 24100, "popuser"
"SendMDN", 24100, "data_dir"
"SendMDN", 24100, "sendmail_path"
"SendMDN", 24100, "sendmail_args"
"SendMDN", 24100, "smtpServerAddress"
"SendMDN", 24100, "smtpPort"
"SendMDN", 24100, "pop_before_smtp"
"SendMDN", 24100, "pop_before_smtp_host"
"ToggleMDNflag", 25379, NULL
"formatRecipientString", 25448, "show_more_cc"
"formatRecipientString", 25448, "show_more"
"formatRecipientString", 25448, "show_more_bcc"
"formatRecipientString", 25448, "PHP_SELF"
"formatEnvheader", 25735, "default_use_mdn"
"formatEnvheader", 25735, "default_use_priority"
"formatEnvheader", 25735, "show_xmailer_default"
"formatEnvheader", 25735, "mdn_user_support"
"formatEnvheader", 25735, "PHP_SELF"
"formatEnvheader", 25735, "javascript_on"
"formatEnvheader", 25735, "squirrelmail_language"
"formatMenubar", 26329, "base_uri"
"formatMenubar", 26329, "draft_folder"
"formatMenubar", 26329, "where"
"formatMenubar", 26329, "what"
"formatMenubar", 26329, "color"
"formatMenubar", 26329, "sort"
"formatMenubar", 26329, "startMessage"
"formatMenubar", 26329, "PHP_SELF"
"formatMenubar", 26329, "save_as_draft"
"formatMenubar", 26329, "enable_forward_as_attachment"
"formatToolbar", 27454, "base_uri"
"formatToolbar", 27454, "where"
"formatToolbar", 27454, "what"
"formatToolbar", 27454, "download_and_unsafe_link"
"parse_viewheader", 29747, "uid_support"
