func_id,prefix,globals
160595,sqimap_get_headerfield_0_,squirrelmail_language;uid_support
138068,addChildNodeToTree_0_,
140118,mime_structure_0_,color;mailbox
162647,sqimap_read_data_list_0_,color;squirrelmail_language
170846,createWidget_Comment_0_,
62308,filter_search_and_delete_0_,languages;imap_server_type;squirrelmail_language;allow_charset_search;uid_support
113509,IsUnique_0_,
107367,translate_new_form_0_,color;translate_dir;translate_new_window;translate_same_window;translate_location
25448,formatRecipientString_0_,show_more;show_more_cc;show_more_bcc;PHP_SELF
168812,setCaptionWrap_0_,
93038,demo_menuline_do_0_,
174959,list_addr_4_,
154765,encodeBASE64_0_,
170867,createWidget_EditList_0_,color;javascript_on
131958,sq_lowercase_array_vals_0_,
76663,sqspell_upgradeWordsFile_0_,SQSPELL_APP_DEFAULT;SQSPELL_VERSION
19321,forget_recent_0_,
152444,displayHtmlHeader_0_,custom_css;theme_css;base_uri;pageheader_sent;squirrelmail_language;browser_rendering_mode
197504,lookup_2_,color
168834,setSize_0_,
228637,parseDisposition_0_,
58252,save_option_draft_folder_0_,username;data_dir
131982,sq_trim_value_0_,
199568,charset_encode_iso_8859_15_0_,
168856,setTrailingText_0_,
80793,delete_move_next_loading_prefs_0_,username;delete_move_next_b;delete_move_next_formATtop;delete_move_next_formATbottom;delete_move_next_t;delete_move_next_show_unread;data_dir
195483,charset_decode_cp1255_0_,
123805,addSubmit_0_,
136094,attachment_common_link_image_0_,attachment_common_show_images;squirrelmail_attachments_finished_handling;attachment_common_show_images_list
101280,newmail_pref_0_,username;data_dir;newmail_allbox;newmail_enable;newmail_popup;newmail_changetitle;newmail_recent;newmail_popup_height;newmail_popup_width;newmail_media
132002,sm_get_user_security_tokens_0_,username;max_token_age_days;data_dir
74659,reset_0_,
54180,load_optpage_data_display_0_,allow_thread_sort;default_use_mdn;optmode;language;compose_new_win;js_autodetect_results;languages;theme;squirrelmail_language
161265,sqimap_messages_copy_0_,uid_support
172969,parseEmail_0_,color;Email_RegExp_Match;compose_new_win
168878,setYesText_0_,
78769,squirrelmail_plugin_init_delete_move_next_0_,squirrelmail_plugin_hooks
228275,processParameters_0_,
193694,charset_decode_koi8_r_0_,
199606,unicodetoiso885915_0_,
76729,sqspell_getSettings_0_,SQSPELL_APP_DEFAULT;SQSPELL_APP
138196,walkTreeInPreOrderEmptyTrash_0_,trash_folder
123838,addReset_0_,
167413,logout_error_0_,org_name;frame_top;color;theme_default;org_logo_height;theme;version;org_logo;org_logo_width;hide_sm_attributions;squirrelmail_language
93121,demo_check_configuration_do_0_,
129987,OneTimePadDecrypt_0_,
168900,setNoText_0_,
107471,translate_form_babelfish_0_,
230329,getParameter_0_,
166866,sqimap_append_0_,
123860,addTextArea_0_,
169635,createWidget_StrList_0_,
201687,charset_encode_iso_8859_9_0_,
168922,setUseAddWidget_0_,
129871,OneTimePadEncrypt_0_,
209885,failQuery_0_,
141136,getPriorityStr_0_,
230371,setParameter_0_,
23524,findNextMessage_0_,sort;server_sort_array;msgs;thread_sort_messages;msort;allow_server_sort
220326,getMailbox_0_,
121831,set_error_0_,
37867,pf_clean_string_0_,username;data_dir
168944,setUseDeleteWidget_0_,
191473,charset_decode_iso_8859_10_0_,
156658,get_parent_level_0_,thread_new
78835,fix_sort_array_0_,username;allow_thread_sort;data_dir;mbx_response;uid_support;thread_sort_messages;mailbox;sort;imapConnection;allow_server_sort
232438,japanese_xtra_utf7_imap_decode_0_,
218737,AddChild_0_,
201725,unicodetoiso88599_0_,
74753,send_cmd_0_,
72707,POP3_0_,
168790,setNewValue_0_,
168966,setLayoutType_0_,
128007,sqimap_mailbox_list_all_0_,folder_prefix;list_special_folders_first;delimiter
121866,search_1_,
166924,sqimap_append_done_0_,
230416,Language_0_,
76819,sqspell_getLang_0_,
183890,getDayAbrv_0_,
123926,addForm_0_,
232471,japanese_xtra_strimwidth_0_,
216088,Deliver_SendMail_0_,
209945,getKey_0_,prefs_cache
19482,delete_saved_0_,
168988,setComment_0_,
125445,sqimap_mailbox_delete_0_,username;data_dir
80928,squirrelmail_plugin_init_sent_subfolders_0_,squirrelmail_plugin_hooks
132129,sm_generate_security_token_0_,username;disable_security_tokens;data_dir;do_not_use_single_token
121891,lookup_3_,
175140,add_0_,
101416,newmail_set_loadinfo_0_,optpage_name;optpage
119853,addressbook_cmp_0_,
197679,list_addr_1_,color
169010,setScript_0_,
29747,parse_viewheader_0_,uid_support
166964,sqimap_append_checkresponse_0_,color;squirrelmail_language
211806,writeBody_0_,
185401,charset_decode_iso_8859_6_0_,
130108,sq_mt_seed_0_,
152640,makeInternalLink_0_,
121922,list_addr_0_,
93252,squirrelmail_plugin_init_test_0_,squirrelmail_plugin_hooks
111686,translate_form_google_0_,
169032,setPostScript_0_,
218978,scriptAdd_0_,
93270,test_menuline_0_,
121943,add_3_,
76888,sqspell_getWords_0_,SQSPELL_WORDS_FILE;SQSPELL_CRYPTO;SCRIPT_NAME
80986,sent_subfolders_check_handleAsSent_0_,use_sent_subfolders;sent_subfolders_base;handleAsSent_result
72795,update_timer_0_,
169054,setSaveFunction_0_,
109664,translate_form_gpltrans_0_,
187489,charset_decode_cp1252_0_,
216165,initStream_1_,
87142,confirm_deletion_0_,dhour;color;day;month;dmonth;dminute;dday;year;dyear;calself;calendardata
93288,test_info_0_,
220268,setBody_0_,
78957,delete_move_del_arr_elem_0_,
184509,getLongDateString_0_,hour_format
121968,remove_0_,
119921,alistcmp_0_,
169076,createHTMLWidget_0_,color;javascript_on
208745,gettext_php_load_strings_0_,gettext_php_dir;squirrelmail_language;gettext_php_domain;gettext_php_loaded;gettext_php_short_circuit;gettext_php_translateStrings;gettext_php_loaded_language
72826,connect_0_,
151402,cram_md5_response_0_,
177685,getThreadMessages_0_,
152704,displayInternalLink_0_,
160898,sqimap_get_message_0_,sort;color;uid_support;startMessage
93315,test_version_0_,
25735,formatEnvheader_0_,default_use_mdn;mdn_user_support;PHP_SELF;javascript_on;squirrelmail_language;show_xmailer_default;default_use_priority
121993,modify_3_,
42178,insert_javascript_0_,
228496,parseProperties_0_,
192707,charset_decode_cp1257_0_,
166709,sqimap_status_messages_0_,
134295,check_sm_version_0_,SQM_INTERNAL_VERSION
173210,parseUrl_0_,MailTo_PReg_Match;url_parser_url_tokens;url_parser_poss_ends
210075,deleteKey_0_,prefs_cache
228057,parsePriority_1_,
148842,sq_cid2http_0_,
152734,displayPageHeader_0_,frame_top;mdn_user_support;provider_uri;startMessage;compose_new_win;org_title;attachemessages;default_use_mdn;reply_focus;action;javascript_on;compose_height;hide_sm_attributions;provider_name;compose_width
79008,delete_move_show_msg_array_0_,msort;msgs
212130,writeBodyPart_0_,username;attachment_dir
150694,SendDownloadHeaders_0_,languages;squirrelmail_language
140455,mime_fetch_body_0_,passed_id;what;startMessage;uid_support;mailbox;where
144552,encodeHeaderBase64_0_,
23725,findPreviousMessage_0_,sort;server_sort_array;msgs;thread_sort_messages;msort;allow_server_sort
132272,sm_validate_security_token_0_,username;max_token_age_days;data_dir;disable_security_tokens
38066,pf_show_attachments_0_,color;what;passed_ent_id;where;startMessage
124085,sortSpecialMbx_0_,
81079,sent_subfolders_load_prefs_0_,username;sent_subfolders_base;sent_folder;sent_subfolders_setting;use_sent_subfolders;data_dir
138425,walkTreeInPreOrderDeleteFolders_0_,
158912,parsePriority_0_,
105666,Show_Array_0_,
19652,save_recent_0_,
220364,parseStructure_0_,
42188,display_result_0_,color
68813,mail_fetch_setnew_0_,data_dir
197838,add_2_,
126165,sqimap_mailbox_parse_0_,folder_prefix;delimiter
